Sno.,PName,Desc,Keywords,Date,Plink
141,Finger-mounted reading device for the blind,"Finger-mounted reading device for the blind is designed for use by individuals who have low vision or are blind. Researchers at the MIT Media Laboratory have built a prototype of a finger-mounted device with a built-in camera that converts written text into audio for visually impaired users. The device provides feedback — either tactile or audible — that guides the user’s finger along a line of text, and the system generates the corresponding audio in real time.The key to the system’s real-time performance is an algorithm for processing the camera’s video feed. Each time the user positions his or her finger at the start of a new line, the algorithm makes a host of guesses about the baseline of the letters. Since most lines of text include letters whose bottoms descend below the baseline, and because skewed orientations of the finger can cause the system to confuse nearby lines, those guesses will differ. But most of them tend to cluster together, and the algorithm selects the median value of the densest cluster.","['baseline', 'start', '—', 'cluster', 'text', 'camera ’ s video feed', 'time.The key', 'blind', 'MIT Media Laboratory', 'device', 'use', 'line', 'algorithm', 'user', 'finger', 'bottom', 'system', 'orientation', 'individual', 'letter', 'user positions', 'performance', 'vision', 'time', 'camera', 'audio', 'reading device', 'tactile', 'host', 'value', 'prototype', 'user ’ s finger', 'guess', 'Researchers']",10/20/2015,https://abledata.acl.gov/product/finger-mounted-reading-device-blind
142,Google Self-Driving Car,"The Google Self-Driving Car is a prototype vehicle designed to take a person who cannot drive where they want to go, with no driving required, at the push of a button. This is designed to be used by the aging or visually impaired persons who would otherwise not be able to drive, for independent, safe transportation.It is designed to navigate safely through city streets. Features include:","['city streets', 'button', 'person', 'Features', 'prototype vehicle', 'transportation.It', 'driving', 'aging', 'push', 'Google Self-Driving Car']",03/24/2016,https://abledata.acl.gov/product/google-self-driving-car
143,Snow S,"The Zoomax Snow S is a handheld video magnifier for people with low vision with conditions such as AMD, Glaucoma, Macular degeneration, or Retinis pigmentosa. The Zoomax Snow S features a 4.7 inch display, HD screen, HD Camera, and Optical Character Recognition (OCR) and Text-To-Speach (TTS) function.The Snow S can recognize regular printed characters from short texts and numbers and read it out aloud for the user. It enables the visually impaired to read materials with less content in daily life such as labels, business card, pill bottle, price tag, receipt, and more. Five languages are available. Additional features include stand-by mode, USB Type-C port offers reversible plug orientation, and a flexible writing stand.","['feature', 'video magnifier', 'content', 'text', 'HD Camera', 'language', 'HD screen', 'life', 'AMD', 'plug orientation', 'Macular degeneration', 'Optical Character Recognition', 'TTS', 'business card', 'function.The Snow S', 'Glaucoma', 'people', 'Zoomax Snow S', 'inch display', 'aloud', 'user', 'USB Type-C port offers', 'label', 'price tag', 'mode', 'vision', 'condition', 'receipt', 'material', 'Text-To-Speach', 'number', 'OCR', 'writing stand', 'pill bottle', 'Retinis pigmentosa', 'character']",11/25/2016,https://abledata.acl.gov/product/snow-s
144,Sport EZ Talking Watch,"The Sport EZ Talking Watch is a watch featuring an analog and digital face that is designed for people who are blind, visually impaired, or who have low vision to tell time. The talking watch is water-resistant which means it can withstand incidental contact with water. Features include an hourly chime, alarm with snooze, and seconds hand. The analog face has silver numbers on a black background as well as small digital window.","['vision', 'contact', 'time', 'Features', 'chime', 'number', 'face', 'snooze', 'water', 'background', 'analog', 'people', 'analog face', 'alarm', 'watch', 'Sport EZ Talking Watch', 'window', 'seconds hand']",02/15/2017,https://abledata.acl.gov/product/sport-ez-talking-watch
145,Raised Line Seasonal Mazes,"The Raised Line Seasonal Mazes is a set of coloring pages designed for individuals with motor impairment to use. Users color the large maze illustrations from the beginning to the end. Further, the raised lines help to keep user inside the lines. Visually impaired individual can color the path or use a crayon or pencil to follow the wide ""road."" The mazes are also good activities for promoting motor planning, visual tracking, and visual motor discrimination. Each set includes 4 easy to medium-easy mazes from fall, winter, and spring for a total of 12 different mazes.","['maze', 'spring', 'road', 'path', 'total', 'motor discrimination', 'page', 'motor impairment', 'crayon', 'line', 'tracking', 'winter', 'user', 'activity', 'individual', 'set', 'Line Seasonal Mazes', 'motor planning', 'Further', 'end', 'Users', 'fall', 'maze illustrations', 'beginning', 'pencil', 'lines help']",02/14/2018,https://abledata.acl.gov/product/raised-line-seasonal-mazes
146,INTEL READER,"The INTEL READER is designed for use by individuals with low vision. The reader is built specifically for the blind and visually impaired, as well as for people with reading disabilities like dyslexia. Using a built-in high-definition camera, the Intel Reader can take photographs of printed text from books, magazines, newspapers, etc., and can convert the text to audio to read aloud.","['vision', 'book', 'newspaper', 'individual', 'magazine', 'text', 'etc.', 'use', 'dyslexia', 'high-definition camera', 'Intel Reader', 'blind', 'people', 'photograph', 'INTEL READER', 'disability', 'aloud', 'reader']",09/06/2018,https://abledata.acl.gov/product/intel-reader-0
147,Talking Calendar Watch,"The Talking Calendar Watch is a braille watch designed for blind or visually impaired individuals to allow them to tell the correct time on their own and discretely. The watch is designed to be stylish and includes a sports clear black numbers on a white face, simple contrasting colors that make it easy for anyone to see - even those with low vision. The device is constructed with round metal body and solid steel for the bands. Additional features, include an analog face, one press button, time/date talk, and alarm sound.","['Talking Calendar Watch', 'time/date talk', 'steel', 'blind', 'sport', 'device', 'contrasting colors', 'watch', 'alarm sound', 'individual', 'round metal body', 'face', 'press button', 'time', 'vision', 'anyone', 'number', 'Additional features', 'band']",10/26/2018,https://abledata.acl.gov/product/talking-calendar-watch
148,Bump Dots -Small Clear -Round 25 per pack,"These Bump Dots -Small Clear -Round 25 per pack are a product designed for those individuals with low vision or who are visually impaired to label everyday items. A good way to tactually mark appliances, computers, typewriters, etc. These labelers are smooth, raised tactile dots that have an adhesive back for easy application and easy identification for those with low vision. Will not damage product surface.","['vision', 'way', 'individual', 'appliance', 'product', 'back', 'product surface', 'Bump Dots -Small Clear', 'typewriter', 'computer', 'identification', 'labelers', 'application', 'dot', 'item', 'pack']",03/13/2019,https://abledata.acl.gov/product/bump-dots-small-clear-round-25-pack
149,Ezc Cards,"The EZC Cards are low vision playing cards designed for use by individuals with low vision. Specially designed for and tested by visually impaired individuals, these cards feature reverse contrast and giant numbers. These cards are the size of a standard poker deck. DIMENSIONS: Cards are 3.5 x 2.5 inches and the numbers are 1.5 inches. COLOR: White numbers and suit symbols on black and dark red backgrounds.","['vision', 'Cards', 'individual', 'number', 'COLOR', 'contrast', 'EZC Cards', 'use', 'inch', 'poker deck', 'background', 'card', 'DIMENSIONS', 'vision playing cards', 'White numbers', 'suit symbols', 'size']",11/20/2012,https://abledata.acl.gov/product/ezc-cards
150,Jawbone,"JawBone is an interface program that allows the coordinated use of the JAWS for Windows screen reader program and the Dragon Naturally Speaking voice recognition program by individuals who are blind or have low vision. This product provides the necessary code for interoperability of Dragon Naturally Speaking Professional version 6.0 and JAWS for Windows version 4.0 and higher (neither included, see separate entries). It includes a lexicon of new commands to make operating a personal computer by voice easier for individuals who are visually impaired or have dyslexia or other learning disabilities. In addition, it includes specific commands for NaturallySpeaking, Microsoft Word, Notepad, WordPad, Outlook and Internet Explorer. Documentation and support material in print, text to audio, and CD audio/video is included. COMPATIBILITY: For use on IBM and compatible computers. SYSTEM REQUIREMENTS: Intel Pentium III 600 megahertz (MHz) processor; 256 megabytes (MB) random access memory (RAM); Windows 98/Me/2000/XP operating system; voice compatible full duplex sound card; JAWS-compliant video card.","['support material', 'text', 'COMPATIBILITY', 'Windows', 'operating system', 'computer', 'interoperability', 'duplex sound card', 'processor', 'megahertz', 'Dragon Naturally Speaking Professional version', 'Documentation', 'Notepad', 'Internet Explorer', 'video card', 'MB', 'command', 'use', 'NaturallySpeaking', 'JAWS', 'RAM', 'addition', 'lexicon', 'code', 'reader program', 'individual', 'Windows version', 'Dragon Naturally Speaking voice recognition program', 'interface program', 'disability', 'Intel Pentium III', 'random access memory', 'MHz', 'vision', 'entry', 'Microsoft Word', 'product', 'WordPad', 'IBM', 'REQUIREMENTS', 'JawBone', 'voice', 'megabyte', 'print', 'CD audio/video', 'Outlook']",04/23/2003,https://abledata.acl.gov/product/jawbone
151,Lux Long Ring Timer (Model 2428),"The Lux Long Ring Timer, model 2428, is a tactile timer for individuals who are blind or visually impaired. It times periods from 1 to 60 minutes. The rotary center knob has raised lines each minute and a raised print number and line at each 5 minute interval going clockwise. The timer has a spring wound movement in a high impact plastic case. OPTIONS: Antimicrobial (white, almond, black, and green only). WEIGHT: 6.4 ounces. COLOR: White, almond, hunter green, cobalt blue, slate blue, mauve, or black.","['hunter green', 'center knob', 'OPTIONS', 'case', 'impact', 'clockwise', 'blue', 'COLOR', 'period', 'line', 'almond', 'WEIGHT', 'White', 'Antimicrobial', 'spring wound movement', 'individual', 'minute', 'Lux Long Ring Timer', 'model', 'mauve', 'timer', 'print number', 'minute interval', 'ounce', 'cobalt blue']",07/31/2011,https://abledata.acl.gov/product/lux-long-ring-timer-model-2428
152,Canning Lid Switch With Light.,"--- ""DO IT YOURSELF"" ENTRY ------- PURPOSE: Light can be turned on with the light pressure of hand on the jar lid. Simple switch to teach cause and effect. Device is constructed from mayonnaise jar lid that is regular mason size, wide mouth canning jar ring, spring from inside a large curler, plastic pill bottle with snap lid, 3 pieces of plastic coated wire, sturdy box turned upside down, 9 volt light bulb with socket, 9 volt battery, and 9 volt snap battery holder. COMMENTS: Good for visually impaired children for teaching cause and effect relationships and getting the child interested in lights. For children who enjoy noises a buzzer of some type may be used in place of light. SKILLS REQUIRED: Soldering. AUTHOR: Burkhart, L J TITLE: Homemade Battery Powered Toys and Educational Devices for Severely Handicapped Children REF: Millville, Pennsylvania: Linda J Burkhart: p 22-24 NARIC CALL NUMBER: R1175 PAGES (including cover): 4 1982.","['light', 'NARIC CALL NUMBER', 'child', 'effect relationships', 'spring', 'plastic pill bottle', 'pressure', 'curler', 'mouth', 'Good', 'piece', 'YOURSELF', 'Battery Powered Toys', 'effect', 'AUTHOR', 'Burkhart', 'L J TITLE', 'cover', 'wire', 'COMMENTS', 'Light', 'jar ring', 'cause', 'hand', 'Handicapped Children REF', 'volt light bulb', 'switch', 'buzzer', 'volt', 'battery holder', 'R1175 PAGES', 'Linda J Burkhart', 'volt battery', 'plastic', 'SKILLS', 'Device', 'place', 'ENTRY', 'Soldering', 'type', 'Educational Devices', 'PURPOSE', 'mayonnaise jar lid', 'jar lid', 'Millville', 'box', 'mason size', 'socket', 'lid', 'Pennsylvania']",04/23/2003,https://abledata.acl.gov/product/canning-lid-switch-light
153,Truncated Dome Tactile Pedestrian Warning Panel,"The Truncated Dome Tactile Pedestrian Warning Panel is a detectable warning surface designed for use on curb ramps and other locations to provide tactile warning of danger for pedestrians who are blind or have low vision. The truncated domes provide a tactile signal to the visually impaired as they move from one surface level to another. The panels can be installed in almost any shape or configuration, and the same panel can be applied to the surface using add-on anchors or embedded. Beveled edges aid wheelchair egress. DIMENSIONS: 24 x 36 inches; 24 x 48 inches; 24 x 60 inches; 36 x 48 inches; or 36 x 60 inches. Base is 0.125 inch base thick. 1.67 inch dome spacing on all sizes except 24 x 36 inches, which has 2.35 inch dome spacing. Other base thicknesses are also available on special order. COLOR: Federal yellow, brick red, dark gray, or black. Custom colors are available. WARRANTY: Five year manufacturer's warranty.","['brick', 'inch dome spacing', 'Custom colors', 'year manufacturer', 'signal', 'warranty', 'curb ramps', 'wheelchair egress', 'panel', 'warning surface', 'base thicknesses', 'COLOR', 'gray', 'use', 'dome', 'shape', 'Base', 'surface level', 'base thick', 'configuration', 'location', 'order', 'WARRANTY', 'Federal yellow', 'surface', 'warning', 'size', 'vision', 'danger', 'inch', 'pedestrian', 'DIMENSIONS', 'edge', 'Truncated Dome Tactile Pedestrian Warning Panel', 'anchor']",01/26/2013,https://abledata.acl.gov/product/truncated-dome-tactile-pedestrian-warning-panel
154,Reizen Braille Watch,"The Reizen Braille Watch is a product designed for the blind and the visually impaired individuals that allows them to tell the correct time on their own and discretely, using this watch. They have covers that swing open and reveal a tactile face with varied dot patterns making different hours. It has a 6’oclock opening and comes in a variety of—including men’s, women’s and unisex watches.","['time', 'dot patterns', 'individual', 'Reizen Braille Watch', 'cover', 'variety', '’ oclock opening', 'product', 'face', 'blind', 'men ’ s', 'woman', 'watch', 'hour']",07/27/2014,https://abledata.acl.gov/product/reizen-braille-watch
155,Helping Eyes (Mountable Visual Aid),"--- ""DO IT YOURSELF"" ENTRY ------- PURPOSE: Helping Eyes is a ""visual aid"" which can be mounted to any apparel to prevent injury to the visually impaired. It uses an ultrasonic range sensor to ""sense"" objects and sends vibrations to warn its wearer of the incoming object (or wall/ceiling). As an object comes closer, the vibration's intensity increases.MATERIALS USED: Attiny85 (with socket), HC SR-04, SPST Slide Switch,Two CR2032 batteries (with holder),NPN transistor,1N4007 Diode, Perfboard (5cm by 7cm), DC Vibration Motor (I salvaged mine from an Xbox controller), A mounting surface (i.e. a hat).PREPARATION:
The schematic can be broken down into three parts:
1.Power Supply.
2.HC SR-04.
3.DC Vibration Motor.","['range sensor', 'injury', 'SPST Slide Switch', 'object', 'A', 'mine', 'incoming object', 'wearer', 'YOURSELF', 'apparel', 'sense', 'sends vibrations', 'CR2032 batteries', 'NPN transistor,1N4007 Diode', 'Xbox controller', 'part', 'hat', 'HC SR-04', 'DC Vibration Motor', 'Perfboard', 'Vibration Motor', 'surface', 'ENTRY', 'Supply', 'intensity increases.MATERIALS USED', 'aid', 'Attiny85', 'holder', 'vibration', 'Helping Eyes', '.PREPARATION', 'socket', 'PURPOSE']",08/31/2014,https://abledata.acl.gov/product/helping-eyes-mountable-visual-aid
156,Touch The Invisible Sky,"Touch the Invisible Sky, by Noreen Grice, Simon Steel, and Doris Daou, is a braille, large print, and tactile graphics book designed for use by individuals who are blind or have low vision. This 60-page book contains color images of nebulae, stars, galaxies, and telescopes. Space images are based on observatons in visible and non-visible wavelengths (radio waves, x-rays, gamma rays, and ultraviolet). Each space image is embossed with transparent lines, bumps, and other textures to define details of the cosmic objects, allowing visually impaired readers to feel what they cannot see. Each of the book's 28 photographs is accompanied by descriptions in transparent contracted braille superimposed over 20 point, large-print text.","['galaxy', 'Sky', 'text', 'detail', 'image', 'object', 'telescope', 'Doris Daou', 'texture', 'line', 'use', 'wavelength', 'nebula', 'space image', 'book', 'x-ray', 'Noreen Grice', 'point', 'transparent', 'gamma rays', 'individual', 'observatons', 'graphics book', 'Space images', 'ultraviolet', 'photograph', 'star', 'vision', 'description', 'braille', 'Simon Steel', 'radio waves', 'bump', 'print', 'reader']",03/12/2009,https://abledata.acl.gov/product/touch-invisible-sky
157,Braille Stapler,"---- PROTOTYPE --------- PURPOSE: To design a prototype of Braille writer that is portable and can be used anywhere by individuals who are blind or visually impaired. The Braille Stapler is portable, six-button braille embosser that includes a space button and functions tab for controlling the size of the Braille. The design expedites the writing process” and the Braille need not be written and/or read in reverse. TITLE: Writing Braille Anywhere. WEBSITE: Yanko Design. REF: http://www.yankodesign.com/2010/08/16/writing-braille-anywhere%E2%80%A6.","['REF', '% A6', 'function', 'braille embosser', 'TITLE', 'Yanko Design', 'read', 'Braille writer', 'process ”', 'Braille', 'individual', '% E2 %', 'Braille Stapler', 'design', 'Writing Braille Anywhere', 'http', 'size', 'space button', 'prototype', 'WEBSITE', 'reverse', 'PURPOSE', 'PROTOTYPE']",08/20/2011,https://abledata.acl.gov/product/braille-stapler
158,Blindfold Dominoes,"Blindfold Dominoes is a fully accessible dominoes tile game for both sighted and visually impaired people, designed for rapid audio play on a mobile device. Blindfold Dominoes comes with a blocking game, where up to 3 computer opponents and the player each place a matching domino on the table until one player runs out of tiles, or no one can move. The winner gets the points of the losing player’s tiles. Customize how much extra information is spoken and how quickly it is spoken, how many sound effects are used amongst other things.","['information', 'Blindfold Dominoes', 'player', 'game', 'effect', 'thing', 'device', 'people', 'losing player ’ s tiles', 'tile', 'point', 'one', 'table', 'domino', 'winner', 'place', 'matching domino', 'computer opponents', 'play']",11/16/2016,https://abledata.acl.gov/product/blindfold-dominoes
159,Combination Safe 00,"The Combination Safe 00 is designed for the blind or the visually impaired to keep items safe. The device features a ratchet mechanism that makes it easier for any user to line up the numbers precisely. The ratchet means the rings only rotate one way but if turned in the opposite direction the ratchet will hold the rings at precise increments. The ratchet also makes a pleasing clicking sound as it rotates, this means it's possible to simply count the clicks as you turn the ring rather than constantly having the feel for the braille characters. The device has a new outer ring with braille characters 0-9 or a-j. There are two versions of both the Bottom and the Inner Shaft. The standard version and Gide Bar (GB) version, the later features two bars indicating where the combination is to go.","['braille characters', 'feature', 'ratchet', 'Inner Shaft', 'GB', 'blind', 'increment', 'Gide Bar', 'outer', 'item', 'combination', 'click', 'version', 'device', 'line', 'user', 'bar', 'way', 'Combination Safe', 'ratchet mechanism', 'direction', 'sound', 'feel', 'number', 'ring', 'Bottom', 'character']",01/24/2017,https://abledata.acl.gov/product/combination-safe-00
160,Samsung's Blind Cap,"Samsung’s Blind Cap is a swimming cap specifically designed to alert swimmers who are blind or visually impaired of the approaching pool wall. This wearable navigation aid works in conjunction with the Blind Cap mobile app, which can be downloaded on a Samsung Gear S2 smartwatch or any Android phone (not included), and synchronized to the Blind Cap via Bluetooth. It also requires the assistance of a sighted individual (coach) who can track the swimmer’s progress down the pool lane. If the swimmer is nearing the pool wall, the coach will tap on the smartwatch or Android phone once to send an alert to the Blind Cap. The cap will start vibrating, signaling to the swimmer that he or she is approaching the pool wall and should turn around soon. Developed in collaboration with the Spanish Paralympic Committee and Cheil Spain, Samsung’s Blind Cap is currently available only to elite swimmers.","['cap', 'pool wall', 'app', 'Samsung ’', 'Cheil Spain', 'vibrating', 'smartwatch', 'Blind Cap', 'Samsung Gear S2 smartwatch', 'swimmer ’ s progress', 'coach', 'individual', 'conjunction', 'Bluetooth', 'alert', 'assistance', 'swimmer', 'collaboration', 'pool lane', 'Paralympic Committee', 'Android phone', 'navigation aid']",05/18/2017,https://abledata.acl.gov/product/samsungs-blind-cap
161,Quick Pick Braille Contractions,"The Quick Pick Braille Contractions is part of the Quick Pick educational game series designed for blind and low vision users to provide a unique play format for students who are visually impaired and blind. Each Quick Pick title consists of a set of cards packaged in one or more plastic cases and includes a wooden tool. Each game card presents a question or other challenge with four possible answers. The student reads the card while it is still in the case.To play, the player chooses an answer by inserting the wooden tool in one of four holes in the front of the case. If the answer is correct, the card will slide out. If incorrect, the card will not pull out, and the player should try again. The object is to pick as many cards as possible on the first try.","['game series', 'object', 'vision users', 'tool', 'player', 'blind', 'Quick Pick Braille Contractions', 'case', 'play format', 'student', 'question', 'front', 'part', 'Quick Pick title', 'set', 'game card', 'challenge', 'try', 'Quick Pick', 'case.To play', 'card', 'answer', 'hole']",12/05/2017,https://abledata.acl.gov/product/quick-pick-braille-contractions
162,Finger-mounted reading device,"The Finger-mounted reading device is a prototype with a built-in camera that converts written text into audio for visually impaired users. The device provides feedback — either tactile or audible — that guides the user’s finger along a line of text, and the system generates the corresponding audio in real time.","['time', 'camera', '—', 'text', 'audio', 'device', 'reading device', 'tactile', 'line', 'prototype', 'user', 'user ’ s finger', 'system']",08/30/2018,https://abledata.acl.gov/product/finger-mounted-reading-device
163,Square Talking Key Chain 2 Pack (Black and White),"The Square Talking Key Chain 2 Pack (Black and White) is a voice output digital alarm clock designed for use by individuals who are blind or have low vision. These talking keychains for the visually impaired features both LCD and audio time report, alarm and hourly time announcement, all on the convenience of a keychain. This talking keychain uses two LR44 batteries (included). Female voice.","['feature', 'Pack', 'voice output', 'Square Talking Key Chain', 'keychain', 'us', 'time report', 'LCD', 'use', 'White', 'time announcement', 'individual', 'alarm', 'keychains', 'vision', 'LR44 batteries', 'Black', 'voice', 'convenience', 'alarm clock']",10/12/2018,https://abledata.acl.gov/product/square-talking-key-chain-2-pack-black-and-white
164,"Mixed Bump Dots, Mixed Sizes and Colors - 80 Count","Mixed Bump Dots, Mixed Sizes and Colors - 80 Count are designed for those individuals with low vision and the visually impaired to label or mark everyday items. These labelers come in eight different types of sizes and colors all in one package to provide easy identification of items for those with low vision. The user may use them for a varitey of uses from tactile marking of everyday items such as computer keyboards, telephone keypads, multiple switches and more by adding 'feet' to vases and ceramic pieces. Low vision labelers are good for in homes or offices with both blind and sighted people, use the clear dots so the view of keypad displays are not obscured. For those with low vision, use black dot labelers on a white background (and vice versa) or the fluorescent orange dots on patterned or darker backgrounds.","['view', 'background', 'blind', ""'feet"", 'piece', 'item', 'us', 'vision labelers', 'vas', 'computer keyboards', 'package', 'Bump Dots', 'Mixed Sizes', 'identification', 'telephone keypads', 'people', 'color', 'Count', 'user', 'switch', 'home', 'individual', 'vice versa', 'size', 'office', 'vision', 'varitey', 'orange dots', 'type', 'dot labelers', 'Colors', 'labelers', 'keypad displays', 'marking', 'darker backgrounds', 'dot']",03/13/2019,https://abledata.acl.gov/product/mixed-bump-dots-mixed-sizes-and-colors-80-count
165,Plextalk Linio Pocket DAISY Player,"Plextalk Linio Pocket DAISY Player is a portable DAISY online player and recorder, designed for the visually impaired and dyslexic to stream or download talking newspapers, magazines and books online. Users immediately access any material of interest online wherever there is an Internet connection to a DAISY online service.","['book', 'connection', 'recorder', 'newspaper', 'material', 'magazine', 'DAISY online player', 'Users', 'DAISY online service', 'access', 'interest online', 'Plextalk Linio Pocket DAISY Player']",05/20/2019,https://abledata.acl.gov/product/plextalk-linio-pocket-daisy-player
166,"Ultra-Ada Pad, Composite Model","The Ultra-ADA Pad, Composite Model, is a detectable warning surface designed for use to provide tactile warnings to pedestrians who are blind or have low vision about potential dangers ahead, such as an upcoming intersection. Visually impaired pedestrians can feel the raised, truncated domes on the surface with their feet. In addition, the surface is noticeably different from the surrounding concrete sidewalk when tapped with a cane. The unit is made from a composite material with continuous fibers that run throughout the pad, including inside of the domes. Two layers of gel coat provide UV resistance and color fastness. The installation method is wet-set, cast-in-place. DIMENSIONS (LxW): 2 x 3, 2 x 4, or 2 x 5 feet. COLOR: Yellow, brick red, or safety red .","['brick', 'layer', 'fiber', 'gel coat', 'intersection', 'cane', 'Composite Model', 'warning surface', 'COLOR', 'unit', 'use', 'cast-in-place', 'color fastness', 'dome', 'addition', 'concrete sidewalk', 'x', 'Ultra-ADA Pad', 'pad', 'Yellow', 'UV resistance', 'installation method', 'warning', 'surface', 'vision', 'material', 'danger', 'foot', 'safety', 'pedestrian', 'DIMENSIONS', 'LxW']",04/14/2013,https://abledata.acl.gov/product/ultra-ada-pad-composite-model
167,Lexiflow,"Lexiflow is a voice output electronic book player program designed for use by publishers of books and student assessments. This program enables publishers to create talking Flash eBooks and assessments that are accessible to students who require read-aloud support. Pages are converted from PDF to talking Adobe Flash for playback using the free Adobe Flash Player. Books are displayed in an exact representation of the printed content on PC or Mac in any industry standard Internet browser. In addition to text-to-speech with a choice of reading voices, the eBook also includes support tools such as a dictionary, translator, notes, dual-color highlighting, search capabilities, page navigation, interactive table of contents, zoom and pan controls for visually impaired readers, and keyboard accessibility. The eBook can be read by students who have no accessibility software. The publisher can add alternate text to non-readable items, such as equations or pictures, so they can be read aloud correctly. Pronunciation of specific words can be adjusted to ensure correct speech output. On assessments, read aloud output can be adjusted to conform to state assessment policies. Books can be delivered through the Web or on CD or DVD. Copyrighted content is secure.","['Flash eBooks', 'PC', 'translator', 'keyboard accessibility', 'Pronunciation', 'choice', 'content', 'text', 'voice output', 'reading voices', 'search capabilities', 'Books', 'CD', 'item', 'pan controls', 'output', 'Internet browser', 'zoom', 'PDF', 'Adobe Flash Player', 'student', 'industry', 'note', 'speech output', 'playback', 'use', 'page navigation', 'Pages', 'addition', 'DVD', 'support tools', 'eBook', 'word', 'book', 'accessibility software', 'support', 'Adobe Flash', 'picture', 'publisher', 'program', 'table', 'Mac', 'representation', 'assessment', 'policy', 'text-to-speech', 'student assessments', 'Web', 'dual-color highlighting', 'state', 'book player program', 'reader', 'equation', 'Lexiflow']",07/16/2009,https://abledata.acl.gov/product/lexiflow
168,iYomube,"iYomube is an optical character recognition iPhone application (app) designed for individuals who are blind or visually impaired. When the user takes a picture of printed material written in English, Japanese, Chinese, or Korean, iYomube will convert the picture into text and read it aloud in a clear voice. iYomube is fully compatible with VoiceOver. Plus, it has real-time speech and continuous recognition. What that means is users do not have to know exactly where the printed material is. Just point the camera in the general direction and iYomube will start reading the printed material aloud in real time as soon as text enters its frame. iYomube is available at the App Store on iTunes.","['text', 'App Store', 'enters', 'app', 'Korean', 'speech', 'frame', 'user', 'individual', 'VoiceOver', 'picture', 'English', 'direction', 'material aloud', 'iYomube', 'character recognition iPhone application', 'time', 'camera', 'iTunes', 'material', 'voice', 'recognition']",03/24/2015,https://abledata.acl.gov/product/iyomube
169,Perkins Audio Dart Master Talking Dartboard,"Perkins Audio Dart Master Talking Dartboard is a dartboard gameplay designed to audio assist visually impaired persons in playing a game of darts. The dartboard has a full display for sighted users and tactile front panel with large symbols. It explains all rules and speaks every action in a human voice, includes a help key. It includes an easy 4-key menu interface for all options. Other features include: “Un-throw” dart feature corrects mistakes; holds up to 20 names for future in memory; league option calls when a player is blocked; National Dart Association statistics (points per dart, marks per round, round out, etc,): and National Dart Association features (white horse, hat trick, there in a bed, low ton, etc.) Adjustable volume. Calls “inside” and “outside” for hits to the two single rings. 25 to 50 point double bull’s eye option. Optional l 'clock position' called if you don't have the positions of the numbers memorized. Optional stereo 'ping' or 'click' helps blind players aim.Virtually self-explaining.","['feature', 'option calls', 'rule', '”', 'trick', 'Perkins Audio Dart Master Talking Dartboard', 'horse', 'player', 'bull ’ s eye option', 'game', 'menu interface', 'bed', 'position', 'mistake', 'memory', 'gameplay', 'name', 'dartboard', 'mark', 'National Dart Association statistics', 'Optional l', 'panel', 'hit', '“', 'symbol', 'user', 'option', 'volume', 'person', 'point', 'display', 'assist', '” dart feature', 'National Dart Association features', 'ton', 'help key', 'Optional', 'number', 'speaks', 'dart', 'round', 'voice', 'Calls “', 'ring', 'action']",12/04/2015,https://abledata.acl.gov/product/perkins-audio-dart-master-talking-dartboard
170,Claro MagX,"Claro MagX is a functional application for the blind or visually impaired that makes small items look bigger. With MagX the user can make small text in books and newspapers readable, study and photograph small objects and labels, and see menus in hard to see environments, such as a dimly lit restaurant. The wide range of magnification, high contrast, and color viewing options makes the text easier on the eyes. MagX intends to be a cost effective solution for hand held video magnifiers, turning an iPhone, iPod Touch, or iPad into a powerful high definition visual magnifier. MagX leverages the power and quality of the iPhone and iPad iSight cameras, high resolution retina displays, large memory, processing power, built in accessibility features, and long battery life.","['study', 'newspaper', 'magnifier', 'text', 'contrast', 'object', 'text easier', 'life', 'blind', 'dimly lit restaurant', 'item', 'memory', 'range', 'color viewing options', 'power', 'hand', 'magnification', 'user', 'cost', 'resolution retina displays', 'book', 'definition', 'accessibility features', 'MagX', 'iPad iSight cameras', 'label', 'eye', 'quality', 'application', 'iPhone', 'environment', 'menu', 'solution', 'video magnifiers', 'Touch', 'Claro MagX']",05/17/2016,https://abledata.acl.gov/product/claro-magx
171,Visually Handicapped Bingo Card,Set of 12 thermoformed plastic boards with raised arabic letter for visually handicapped bingo players. Outline of raised numbers can be felt with the fingers and readily determined by players. Numbers are also large enough so that lesser handicapped might read the digits.,"['plastic boards', 'number', 'digit', 'letter', 'player', 'bingo players', 'Numbers', 'finger', 'Outline', 'Set']",04/23/2003,https://abledata.acl.gov/product/visually-handicapped-bingo-card
172,Wooden Braille Eraser (Model 1-00270-00),"The Wooden Braille Eraser, model 1-00270-00, is a braille eraser for individuals who are visually impaired. It is made of maple with a natural finish. It has a round tip on one end; and on the other, a handle with a flattened side to prevent the eraser from rolling away. DIMENSIONS: 2.5 inches long.","['round tip', 'end', 'individual', 'finish', 'Wooden Braille Eraser', 'side', 'inch', 'model', 'maple', 'DIMENSIONS', 'handle', 'eraser', 'braille eraser']",10/18/2010,https://abledata.acl.gov/product/wooden-braille-eraser-model-1-00270-00
